1631976

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      10.54
2                      10.09
4                       9.65
8                       9.52
16                     10.02
32                     10.68
64                     11.49
128                    11.93
256                    10.64
512                    11.06
1024                   13.38
2048                   18.11
4096                   22.38
8192                   30.91
16384                  50.25
32768                 117.96
65536                 187.44
131072                367.43
262144                726.21
