1627072

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.07
2                       9.83
4                       9.95
8                       9.73
16                      8.95
32                     10.11
64                     10.26
128                    10.03
256                    10.21
512                    11.55
1024                   13.46
2048                   17.35
4096                   21.82
8192                   30.69
16384                  49.71
32768                 118.31
65536                 187.13
131072                374.77
262144                727.03
