1621733

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.44
2                      10.13
4                      10.06
8                       9.64
16                      9.54
32                      9.71
64                      9.88
128                     9.74
256                    10.19
512                    11.21
1024                   12.89
2048                   17.02
4096                   21.78
8192                   31.38
16384                  49.39
32768                 117.68
65536                 187.59
131072                377.80
262144                717.58
