1252888

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.46              6.26              5.47              4.96
2                      11.57              6.18              5.41              0.38
4                      11.18              6.24              5.46              9.61
8                      11.18              6.18              5.38              6.98
16                     12.03              6.88              6.07             15.19
32                     14.61              8.60              7.63             21.18
64                     14.50              8.50              7.55             20.61
128                    24.33             12.78             11.55              0.01
256                    24.54             13.09             11.84              3.23
512                    27.18             15.01             13.67             10.96
1024                   32.51             19.30             17.73             25.49
2048                   45.24             28.24             26.16             35.03
4096                   83.66             46.09             42.97             12.57
8192                  142.90             94.43             88.53             45.26
16384                 214.12            155.73            146.31             60.09
32768                 502.72            333.47            313.81             46.06
65536                1026.49            707.10            665.89             52.04
131072               2126.13           1441.91           1358.43             49.63
262144               4338.09           3211.11           3025.80             62.75
