1256061

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.65              6.39              5.58              5.65
2                      11.61              6.22              5.45              1.17
4                      11.41              6.26              5.48              6.00
8                      11.26              6.25              5.48              8.60
16                     12.07              6.86              6.02             13.66
32                     14.71              8.67              7.73             21.82
64                     14.56              8.49              7.58             20.03
128                    24.41             12.68             11.53              0.00
256                    24.81             12.92             11.75              0.00
512                    27.70             14.86             13.56              5.32
1024                   33.17             20.62             18.92             33.66
2048                   46.68             28.41             26.14             30.12
4096                   76.53             46.02             42.86             28.82
8192                  143.74             90.92             85.21             38.02
16384                 211.90            155.87            146.45             61.74
32768                 506.63            335.84            316.02             45.96
65536                1047.90            718.74            676.86             51.37
131072               2220.70           1494.16           1407.68             48.39
262144               4859.09           3439.77           3240.92             56.21
