1248125

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.52              6.38              5.58              7.92
2                      11.53              6.31              5.49              4.84
4                      11.23              6.27              5.46              9.14
8                      11.17              6.12              5.34              5.59
16                     12.14              7.01              6.20             17.26
32                     14.68              8.54              7.64             19.68
64                     14.59              8.54              7.64             20.87
128                    24.35             12.90             11.68              1.87
256                    24.76             13.03             11.84              0.94
512                    27.53             14.92             13.62              7.39
1024                   32.95             19.10             17.53             21.01
2048                   46.01             28.16             26.03             31.41
4096                   70.34             45.32             42.26             40.80
8192                  148.94             91.36             85.59             32.73
16384                 210.41            156.39            146.94             63.23
32768                 503.73            335.84            315.95             46.86
65536                1027.15            713.47            671.86             53.31
131072               2149.35           1477.97           1392.37             51.78
262144               4364.96           3348.55           3155.10             67.79
