1246539

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.34              6.35              5.52              9.57
2                      11.23              6.33              5.49             10.60
4                      11.24              6.28              5.47              9.26
8                      11.23              6.26              5.44              8.52
16                     12.13              7.02              6.19             17.46
32                     14.51              8.52              7.63             21.45
64                     14.52              8.45              7.54             19.52
128                    24.06             12.97             11.77              5.79
256                    24.34             13.08             11.90              5.43
512                    26.91             14.88             13.57             11.39
1024                   33.70             19.78             18.20             23.53
2048                   46.75             28.39             26.26             30.08
4096                   72.89             46.27             43.15             38.31
8192                  147.36             92.53             86.73             36.78
16384                 212.51            153.72            144.43             59.29
32768                 506.88            334.07            314.39             45.03
65536                1035.15            711.95            670.51             51.80
131072               2267.67           1518.20           1430.38             47.60
262144               4445.15           3421.64           3224.20             68.26
