1232265

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.43              6.28              5.49              6.03
2                      11.48              6.33              5.52              6.60
4                      11.11              6.26              5.49             11.73
8                      10.99              6.16              5.38             10.23
16                     12.06              7.01              6.18             18.29
32                     14.39              8.40              7.46             19.68
64                     14.48              8.46              7.52             19.95
128                    24.27             12.71             11.47              0.00
256                    24.45             13.12             11.86              4.48
512                    26.93             14.93             13.60             11.82
1024                   32.20             18.77             17.21             22.02
2048                   46.04             27.87             25.78             29.56
4096                   73.29             46.25             43.12             37.29
8192                  143.67             90.19             84.54             36.74
16384                 212.35            154.89            145.54             60.52
32768                 500.65            332.21            312.63             46.12
65536                1047.25            723.74            681.62             52.54
131072               2227.82           1503.24           1416.24             48.84
262144               4747.28           3451.02           3251.51             60.13
