1249715

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.47              6.40              5.59              9.46
2                      11.46              6.32              5.50              6.51
4                      12.41              6.29              5.45              0.00
8                      11.21              6.17              5.38              6.36
16                     12.04              6.88              6.07             15.02
32                     14.78              8.71              7.77             21.85
64                     14.68              8.44              7.51             17.02
128                    24.39             12.87             11.65              1.12
256                    24.76             13.01             11.86              0.94
512                    27.58             16.09             14.71             21.88
1024                   33.41             19.94             18.31             26.39
2048                   47.60             28.88             26.75             30.03
4096                   78.01             45.97             42.85             25.22
8192                  144.68             90.02             84.35             35.20
16384                 211.08            154.04            144.72             60.59
32768                 498.96            328.48            309.08             44.84
65536                1044.50            710.80            669.41             50.15
131072               2196.79           1481.97           1396.16             48.80
262144               4450.94           3389.61           3193.92             66.77
