1262412

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.31              6.55              5.73             16.95
2                      11.50              6.38              5.51              7.09
4                      11.12              6.26              5.46             11.02
8                      11.19              6.28              5.47             10.21
16                     12.12              7.11              6.25             19.78
32                     14.51              8.47              7.55             20.14
64                     14.26              8.40              7.47             21.57
128                    24.06             12.74             11.57              2.18
256                    24.44             13.07             11.84              3.96
512                    27.28             14.94             13.62              9.40
1024                   33.14             19.80             18.21             26.75
2048                   45.81             28.13             26.05             32.15
4096                   78.77             47.30             44.09             28.64
8192                  146.63             90.51             84.82             33.84
16384                 209.07            156.36            146.89             64.12
32768                 501.02            335.16            315.38             47.41
65536                1052.53            717.27            675.47             50.37
131072               2251.40           1513.72           1426.03             48.27
262144               4811.44           3460.95           3260.90             58.59
