1254477

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.39              6.36              5.56              9.45
2                      11.33              6.41              5.62             12.51
4                      11.22              6.36              5.56             12.65
8                      11.14              6.25              5.47             10.70
16                     11.96              6.94              6.10             17.67
32                     14.46              8.64              7.67             24.10
64                     14.38              8.54              7.60             23.16
128                    24.04             12.75             11.55              2.22
256                    24.66             13.15             11.94              3.56
512                    26.93             14.83             13.56             10.79
1024                   33.53             19.52             17.94             21.92
2048                   46.94             28.62             26.42             30.65
4096                   74.43             46.36             43.21             35.06
8192                  143.95             91.30             85.56             38.47
16384                 210.13            156.23            146.78             63.28
32768                 498.61            333.41            313.72             47.34
65536                1032.72            703.45            662.45             50.30
131072               2246.79           1541.34           1452.09             51.42
262144               4870.26           3455.79           3256.23             56.56
