1240197

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.51              6.40              5.59              8.49
2                      11.53              6.32              5.50              5.33
4                      11.23              6.30              5.47              9.82
8                      11.33              6.18              5.36              3.92
16                     11.99              6.87              6.04             15.36
32                     14.86              8.69              7.74             20.29
64                     14.47              8.59              7.64             22.99
128                    24.47             12.86             11.63              0.15
256                    24.91             13.03             11.81              0.00
512                    27.14             14.75             13.46              7.97
1024                   32.57             18.94             17.39             21.62
2048                   46.40             27.69             25.63             27.03
4096                   78.94             46.21             43.07             24.00
8192                  143.50             90.89             85.18             38.25
16384                 209.15            153.56            144.26             61.47
32768                 493.38            328.86            309.41             46.83
65536                1029.38            712.88            671.34             52.86
131072               2233.43           1514.33           1426.62             49.59
262144               4716.72           3400.40           3203.87             58.91
