1224317

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.46              6.57              5.77             15.25
2                      11.25              6.20              5.41              6.78
4                      11.09              6.34              5.55             14.42
8                      10.93              6.15              5.38             11.12
16                     12.07              6.87              6.06             14.24
32                     14.54              8.47              7.56             19.77
64                     14.49              8.45              7.52             19.71
128                    24.40             12.66             11.46              0.00
256                    24.76             12.90             11.69              0.00
512                    27.13             14.71             13.44              7.53
1024                   32.79             19.36             17.75             24.36
2048                   47.66             29.94             27.75             36.14
4096                   84.19             46.58             43.45             13.44
8192                  142.19             90.35             84.67             38.78
16384                 207.89            153.10            143.83             61.91
32768                 506.11            338.15            317.92             47.17
65536                1039.60            716.81            674.89             52.17
131072               2215.12           1505.92           1417.70             49.98
262144               4742.84           3486.68           3285.18             61.76
