1260824

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.35              6.28              5.45              7.01
2                      11.42              6.23              5.41              4.01
4                      11.05              6.26              5.45             12.20
8                      11.05              6.22              5.41             10.87
16                     12.09              6.84              6.01             12.77
32                     14.32              8.43              7.50             21.52
64                     14.21              8.33              7.41             20.65
128                    24.26             12.82             11.64              1.70
256                    25.09             13.94             12.68             12.05
512                    27.33             14.70             13.43              5.97
1024                   32.77             19.22             17.68             23.38
2048                   46.46             28.06             25.95             29.10
4096                   75.88             47.56             44.36             36.15
8192                  146.79             91.67             85.90             35.84
16384                 214.45            155.68            146.27             59.82
32768                 495.11            330.58            311.01             47.10
65536                1045.97            716.63            674.88             51.20
131072               2214.32           1500.69           1413.64             49.52
262144               4797.68           3383.54           3187.97             55.64
