1243367

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.67              6.38              5.57              4.93
2                      11.45              6.18              5.38              2.05
4                      10.99              6.29              5.48             14.25
8                      10.95              6.18              5.36             10.99
16                     12.13              6.96              6.13             15.73
32                     14.31              8.51              7.61             23.80
64                     14.18              8.39              7.49             22.78
128                    24.16             12.75             11.57              1.36
256                    24.64             13.14             11.96              3.83
512                    27.56             14.98             13.65              7.86
1024                   32.66             19.02             17.44             21.78
2048                   46.78             28.96             26.79             33.48
4096                   82.77             47.36             44.18             19.85
8192                  147.43             90.98             85.23             33.77
16384                 209.89            153.89            144.57             61.26
32768                 501.16            334.32            314.59             46.96
65536                1030.94            709.16            667.82             51.82
131072               2148.44           1468.23           1383.21             50.82
262144               4390.66           3240.40           3053.44             62.33
