1225907

# OSU MPI Non-Blocking Broadcast Latency Test v7.0
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.30              6.29              5.45              8.02
2                      11.33              6.29              5.46              7.59
4                      11.18              6.22              5.41              8.46
8                      11.10              6.12              5.33              6.43
16                     11.93              7.02              6.21             21.04
32                     14.52              8.59              7.68             22.87
64                     14.32              8.50              7.59             23.24
128                    24.07             12.86             11.69              4.01
256                    24.58             13.09             11.85              3.06
512                    27.11             14.96             13.64             10.95
1024                   32.76             19.39             17.78             24.80
2048                   47.09             28.43             26.30             29.02
4096                   84.85             46.88             43.73             13.16
8192                  143.52             92.30             86.51             40.79
16384                 209.37            153.18            143.92             60.96
32768                 500.58            330.87            311.35             45.49
65536                1021.10            706.90            665.70             52.80
131072               2145.58           1490.65           1404.28             53.36
262144               4492.08           3430.36           3232.24             67.15
