4108878

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      48.51             29.86             25.63             27.26
2                      12.40             10.14              8.61             73.72
4                      27.95              9.57              8.13              0.00
8                      17.81             13.39             11.45             61.41
16                     28.34             14.91             12.77              0.00
32                     45.93             37.61             32.50             74.40
64                     37.16             20.85             17.94              9.09
128                    35.61             20.21             17.39             11.44
256                    73.48             34.80             30.08              0.00
512                    49.61             29.68             25.64             22.29
1024                   61.70             31.05             26.84              0.00
2048                   33.67             16.42             14.12              0.00
4096                   47.59             29.29             25.30             27.65
8192                   51.49             28.28             24.41              4.92
16384                  95.77             41.01             35.49              0.00
32768                  60.70             38.91             33.65             35.26
65536                 129.32             53.47             46.32              0.00
131072                242.97            136.47            118.44             10.07
262144                557.05            356.66            310.46             35.45
