4109122

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      14.83             10.37              8.85             49.69
2                      20.86             11.36              9.71              2.08
4                      54.43             31.67             27.38             16.86
8                      18.47              9.56              8.15              0.00
16                     43.50             31.27             27.02             54.73
32                     79.71             60.81             52.71             64.14
64                     24.21             15.95             13.70             39.70
128                    45.79             22.83             19.60              0.00
256                    27.35             18.27             15.71             42.22
512                    25.94             14.86             12.75             13.12
1024                   36.90             18.63             16.02              0.00
2048                   37.12             15.58             13.37              0.00
4096                   47.56             26.97             23.29             11.60
8192                   49.06             25.20             21.73              0.00
16384                  68.76             47.16             40.82             47.09
32768                 212.84             84.67             73.44              0.00
65536                  96.01             56.05             48.55             17.71
131072                392.76            230.06            199.77             18.56
262144                408.41            203.74            176.30              0.00
