4108989

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      35.46             20.08             17.25             10.84
2                      13.86             10.97              9.34             69.05
4                      28.10             19.20             16.49             45.99
8                      22.19             10.70              9.10              0.00
16                     35.05             16.67             14.27              0.00
32                     25.69             15.55             13.33             23.93
64                     17.64             15.00             12.86             79.51
128                    23.95             14.94             12.80             29.66
256                    51.98             30.38             26.18             17.47
512                    38.20             16.85             14.48              0.00
1024                   23.47             15.26             13.08             37.20
2048                   40.52             17.80             15.30              0.00
4096                   92.87             51.84             44.93              8.68
8192                   61.74             27.42             23.68              0.00
16384                  41.66             27.27             23.61             39.02
32768                  58.57             37.84             32.73             36.65
65536                 152.59             72.53             62.93              0.00
131072                202.56            132.81            115.31             39.51
262144                490.19            244.56            212.44              0.00
