4110033

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      19.55             12.32             10.55             31.51
2                      13.73              9.48              8.06             47.27
4                      14.82             10.01              8.54             43.67
8                      12.00              9.63              8.21             71.07
16                     21.31             11.07              9.47              0.00
32                     19.86             11.34              9.71             12.34
64                     16.71             14.15             12.14             78.89
128                    23.26             15.42             13.24             40.77
256                    25.17             16.47             14.16             38.55
512                    28.94             17.78             15.29             26.98
1024                   30.23             15.91             13.67              0.00
2048                   25.08             15.28             13.14             25.38
4096                   50.10             22.37             19.27              0.00
8192                   40.83             25.41             21.93             29.70
16384                  42.67             27.17             23.49             34.03
32768                  77.56             44.96             38.83             16.04
65536                  86.47             53.39             46.30             28.56
131072                277.39            203.06            176.42             57.87
262144                390.57            221.43            192.43             12.11
