4109689

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      51.82             18.09             15.54              0.00
2                      21.14             12.95             11.05             25.91
4                      16.21             10.14              8.66             29.88
8                      23.35             19.33             16.62             75.83
16                     20.10             15.84             13.60             68.71
32                     41.44             21.70             18.69              0.00
64                     39.50             29.20             25.20             59.14
128                    29.57             20.80             17.90             51.00
256                    23.82             15.95             13.68             42.42
512                    31.44             16.28             13.97              0.00
1024                   25.02             15.09             12.95             23.36
2048                   29.59             18.83             16.19             33.58
4096                   36.88             19.40             16.69              0.00
8192                   39.90             24.57             21.17             27.57
16384                  45.26             27.68             23.87             26.39
32768                  58.45             37.47             32.39             35.22
65536                  90.34             59.16             51.24             39.17
131072                245.58            101.56             87.97              0.00
262144                474.57            223.35            193.78              0.00
