4108650

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      14.57             11.71             10.01             71.41
2                      51.66             30.92             26.70             22.32
4                      49.65             15.11             12.96              0.00
8                      18.61             16.19             13.90             82.61
16                     19.91             16.43             14.11             75.29
32                     23.52             15.51             13.33             39.91
64                     25.94             11.00              9.39              0.00
128                    52.22             25.02             21.57              0.00
256                    24.43             14.95             12.81             25.99
512                    27.26             16.07             13.80             18.94
1024                   35.10             18.62             16.01              0.00
2048                   37.09             18.48             15.89              0.00
4096                   42.02             24.64             21.24             18.18
8192                   63.42             33.23             28.70              0.00
16384                 333.71            175.07            151.82              0.00
32768                 100.54             65.14             56.35             37.19
65536                 130.05             53.60             46.41              0.00
131072                212.88            113.53             98.50              0.00
262144                457.24            256.95            223.09             10.22
