4110475

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      20.59              9.55              8.13              0.00
2                      12.93             10.09              8.59             66.83
4                      13.85             11.34              9.69             74.16
8                      18.38             15.84             13.62             81.41
16                     20.81             15.02             12.91             55.19
32                     22.22             13.20             11.31             20.23
64                     15.20             12.70             10.88             76.98
128                    26.29             15.84             13.60             23.15
256                    24.67             15.39             13.23             29.90
512                    21.90             14.14             12.12             35.99
1024                   36.65             22.01             18.96             22.80
2048                   35.03             15.49             13.30              0.00
4096                   38.33             19.87             16.97              0.00
8192                   44.65             25.08             21.64              9.57
16384                  55.36             33.18             28.69             22.67
32768                  56.53             36.68             31.71             37.40
65536                  86.59             53.47             46.45             28.69
131072                152.57             89.71             77.85             19.26
262144                381.13            198.95            172.78              0.00
