4108079

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      46.65             25.27             21.70              1.45
2                      22.99             16.06             13.73             49.55
4                      30.85             11.85             10.10              0.00
8                      19.40             13.44             11.48             48.12
16                     20.22             17.63             15.11             82.85
32                     18.19             13.32             11.38             57.16
64                     14.32             11.01              9.38             64.60
128                    38.79             15.34             13.15              0.00
256                    24.73             15.27             13.13             27.94
512                    26.58             14.92             12.82              9.05
1024                   33.49             19.10             16.30             11.70
2048                   30.58             15.97             13.70              0.00
4096                   50.08             24.85             21.43              0.00
8192                   66.30             34.64             29.95              0.00
16384                  68.11             38.65             33.45             11.90
32768                  89.92             62.10             53.80             48.29
65536                  84.75             53.91             46.70             33.97
131072                165.96             86.71             75.21              0.00
262144                432.28            266.95            231.85             28.69
