4110241

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      38.43             26.13             22.55             45.45
2                      16.49             12.82             10.99             66.63
4                      21.23             14.49             12.44             45.81
8                      14.00             11.50              9.84             74.57
16                     13.67             11.06              9.47             72.46
32                     23.48             12.21             10.45              0.00
64                     13.92             11.42              9.76             74.41
128                    22.92             14.87             12.77             37.02
256                    21.41             13.89             11.91             36.86
512                    35.49             17.90             15.38              0.00
1024                   26.19             15.25             13.07             16.31
2048                   33.01             16.00             13.74              0.00
4096                   37.32             20.58             17.73              5.60
8192                   42.69             25.52             22.02             22.00
16384                  41.25             26.92             23.24             38.39
32768                  66.33             39.63             34.29             22.12
65536                  88.89             56.64             49.09             34.32
131072                145.01             88.35             76.64             26.07
262144                482.48            265.75            230.77              6.08
