4109807

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      30.13             16.57             14.25              4.85
2                      15.83             11.09              9.47             49.98
4                      18.87             13.28             11.28             50.46
8                      29.95             26.23             22.64             83.58
16                     16.41             12.64             10.82             65.14
32                     17.13             11.17              9.54             37.55
64                     25.26             10.95              9.34              0.00
128                    42.89             23.56             20.23              4.46
256                    49.56             21.96             18.93              0.00
512                    41.43             24.77             21.37             22.07
1024                   48.33             24.79             21.37              0.00
2048                   32.10             20.45             17.62             33.88
4096                   60.55             22.00             18.95              0.00
8192                   39.48             24.28             20.94             27.40
16384                  99.80             43.61             37.73              0.00
32768                  56.47             36.48             31.53             36.61
65536                  89.71             59.19             51.27             40.47
131072                188.23             87.29             75.68              0.00
262144                441.51            204.79            177.84              0.00
