
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.85
2                       4.06
4                       4.06
8                       4.03
16                      4.03
32                      4.05
64                      4.14
128                     4.21
256                     6.25
512                     6.30
1024                    6.46
2048                    6.81
4096                    7.05
8192                    6.47
16384                   8.45
32768                  15.69
65536                  27.94
131072                 41.98
262144                 70.21
