
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.13
2                       4.08
4                       4.07
8                       4.09
16                      4.05
32                      4.06
64                      4.07
128                     4.24
256                     6.22
512                     6.36
1024                    6.46
2048                    6.78
4096                    7.03
8192                    6.45
16384                   8.42
32768                  15.67
65536                  27.90
131072                 41.95
262144                 70.13
