
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.13
2                       4.05
4                       4.06
8                       4.06
16                      4.05
32                      4.04
64                      4.06
128                     4.26
256                     6.24
512                     6.32
1024                    6.48
2048                    6.78
4096                    7.05
8192                    6.47
16384                   8.44
32768                  15.65
65536                  27.90
131072                 41.93
262144                 70.25
