
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.14
2                       4.07
4                       4.08
8                       4.07
16                      4.05
32                      4.05
64                      4.07
128                     4.21
256                     6.22
512                     6.30
1024                    6.47
2048                    6.79
4096                    7.06
8192                    6.47
16384                   8.51
32768                  15.68
65536                  27.92
131072                 41.95
262144                 70.18
