
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.95
2                       4.09
4                       4.08
8                       4.07
16                      4.08
32                      4.16
64                      4.08
128                     4.23
256                     6.22
512                     6.30
1024                    6.48
2048                    6.79
4096                    7.04
8192                    6.48
16384                   8.44
32768                  15.69
65536                  27.97
131072                 42.01
262144                 70.13
