
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.93
2                       4.06
4                       4.08
8                       4.03
16                      4.03
32                      4.04
64                      4.04
128                     4.20
256                     6.24
512                     6.30
1024                    6.48
2048                    6.80
4096                    7.05
8192                    6.47
16384                   8.44
32768                  15.65
65536                  27.92
131072                 41.98
262144                 70.24
