
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.77
2                       4.06
4                       4.05
8                       4.02
16                      4.03
32                      4.07
64                      4.05
128                     4.21
256                     6.22
512                     6.28
1024                    6.45
2048                    6.78
4096                    7.02
8192                    6.46
16384                   8.42
32768                  15.67
65536                  27.94
131072                 41.96
262144                 70.19
