
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.17
2                       4.08
4                       4.09
8                       4.09
16                      4.07
32                      4.07
64                      4.08
128                     4.23
256                     6.27
512                     6.35
1024                    6.49
2048                    6.83
4096                    7.06
8192                    6.46
16384                   8.46
32768                  15.66
65536                  27.90
131072                 41.98
262144                 70.19
