3245504

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                     159.28            115.82            108.84             60.07
2                     151.50            121.42            114.09             73.63
4                     131.99            114.27            107.38             83.50
8                     139.52             85.96             80.66             33.61
16                    136.57             94.23             88.49             52.14
32                    249.81            154.03            144.85             33.87
64                    168.09            111.39            104.65             45.82
128                    61.31             43.15             40.34             54.99
256                   118.60             90.94             85.36             67.60
512                   159.20            122.64            115.24             68.27
1024                  150.11            106.99            100.51             57.10
2048                  243.47            131.13            123.24              8.84
4096                  150.82             98.44             92.45             43.34
8192                  225.44            131.77            123.86             24.37
16384                 346.50            179.58            168.92              1.19
32768                 629.33            319.94            301.25              0.00
65536                 592.06            228.16            214.72              0.00
131072                848.52            394.27            371.32              0.00
262144               1127.17            577.52            544.05              0.00
