3244476

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                     151.82            113.80            106.95             64.45
2                     173.28            126.56            118.94             60.72
4                     181.91            122.06            114.69             47.83
8                     258.98            198.73            186.99             67.77
16                    138.00             83.85             78.66             31.15
32                    205.96            134.31            126.25             43.25
64                    208.87            140.74            132.30             48.50
128                   218.87            157.46            148.08             58.53
256                   198.21            153.75            144.58             69.25
512                   125.22             85.36             80.10             50.25
1024                  209.95            154.30            145.11             61.65
2048                  121.03             97.03             91.12             73.67
4096                  216.46            127.57            119.90             25.87
8192                  208.92            113.28            106.42             10.13
16384                 338.87            172.87            162.58              0.00
32768                 654.91            315.38            297.03              0.00
65536                 783.03            367.88            346.44              0.00
131072                871.42            372.42            350.78              0.00
262144               1262.76            634.08            597.37              0.00
