3246697

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                     158.36            106.04             99.57             47.45
2                     190.97            154.03            144.84             74.50
4                     120.46             95.20             89.36             71.73
8                     116.30             89.50             84.01             68.09
16                    256.56            175.84            165.38             51.20
32                    177.11            120.99            113.71             50.64
64                    188.21            144.93            136.26             68.24
128                   266.77            155.54            146.23             23.93
256                   224.32            178.61            167.98             72.79
512                   120.74             79.17             74.28             44.03
1024                  293.67            189.66            178.41             41.70
2048                  238.86            205.65            193.48             82.84
4096                  154.31            100.42             94.29             42.84
8192                  221.31            122.92            115.48             14.80
16384                 253.26            140.82            132.37             15.05
32768                 654.12            318.03            299.42              0.00
65536                 753.85            215.03            201.73              0.00
131072                914.20            420.51            395.98              0.00
262144               1123.44            541.21            509.82              0.00
