3243749

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                     217.84            142.45            133.91             43.70
2                     257.20            147.65            138.82             21.09
4                     270.63            231.49            217.75             82.02
8                     119.86             89.82             84.29             64.36
16                    176.00            136.89            128.67             69.60
32                    214.85            152.55            143.41             56.56
64                    233.77            191.47            180.12             76.52
128                   258.00            174.80            164.40             49.39
256                   209.64            181.97            171.15             83.84
512                   161.41             97.71             91.77             30.59
1024                  254.93            131.52            123.60              0.15
2048                  281.46            228.99            215.48             75.65
4096                  300.36            181.20            170.45             30.09
8192                  328.05            204.56            192.46             35.84
16384                 258.10            138.63            130.29              8.30
32768                 659.70            342.13            322.12              1.41
65536                 681.42            298.34            280.93              0.00
131072                925.76            384.10            361.73              0.00
262144               1146.61            563.23            530.62              0.00
