639257

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.35
2                       5.31
4                       5.36
8                       5.29
16                      5.28
32                      5.80
64                      5.92
128                     6.00
256                     6.22
512                     7.02
1024                    8.91
2048                   10.55
4096                   14.25
8192                   22.03
16384                  47.71
32768                  84.51
65536                 149.95
131072                311.42
262144                658.34
