646660

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.25
2                       5.30
4                       5.25
8                       5.21
16                      5.12
32                      5.57
64                      5.70
128                     5.84
256                     6.07
512                     7.10
1024                    8.86
2048                   10.47
4096                   14.20
8192                   21.87
16384                  47.48
32768                  84.39
65536                 150.94
131072                319.77
262144                657.13
