640474

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.20
2                       5.22
4                       5.20
8                       5.19
16                      5.25
32                      5.68
64                      5.91
128                     5.96
256                     6.17
512                     6.77
1024                    8.74
2048                   10.40
4096                   14.17
8192                   21.92
16384                  47.44
32768                  84.36
65536                 148.07
131072                319.80
262144                657.38
