654654

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.48
2                       5.48
4                       5.50
8                       5.45
16                      5.45
32                      5.93
64                      6.13
128                     6.21
256                     6.38
512                     7.20
1024                    9.07
2048                   10.62
4096                   14.15
8192                   21.78
16384                  47.66
32768                  84.16
65536                 146.57
131072                326.00
262144                660.42
