643994

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.25
2                       5.25
4                       5.23
8                       5.17
16                      5.19
32                      5.61
64                      5.93
128                     6.10
256                     6.51
512                     7.14
1024                    8.78
2048                   10.43
4096                   14.16
8192                   21.88
16384                  47.44
32768                  84.62
65536                 146.65
131072                317.72
262144                652.13
