651137

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.50
2                       5.48
4                       5.44
8                       5.43
16                      5.39
32                      5.94
64                      6.17
128                     6.30
256                     6.57
512                     7.14
1024                    9.08
2048                   10.38
4096                   14.07
8192                   21.56
16384                  47.47
32768                  84.29
65536                 146.16
131072                326.64
262144                660.49
