637212

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.30
2                       5.30
4                       5.28
8                       5.26
16                      5.21
32                      5.54
64                      5.88
128                     6.19
256                     6.40
512                     7.07
1024                    8.83
2048                   10.51
4096                   14.28
8192                   21.96
16384                  47.57
32768                  84.43
65536                 151.19
131072                320.35
262144                654.61
