644852

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.33
2                       5.31
4                       5.30
8                       5.24
16                      5.26
32                      5.59
64                      5.88
128                     6.01
256                     6.37
512                     7.05
1024                    8.99
2048                   10.34
4096                   13.99
8192                   21.78
16384                  47.79
32768                  84.54
65536                 151.50
131072                320.03
262144                654.37
