642184

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.48
2                       5.48
4                       5.47
8                       5.38
16                      5.43
32                      5.84
64                      6.25
128                     6.57
256                     6.87
512                     7.50
1024                    9.22
2048                   10.45
4096                   14.01
8192                   21.73
16384                  47.50
32768                  84.44
65536                 150.19
131072                323.48
262144                656.50
