638167

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.31
2                       5.31
4                       5.31
8                       5.25
16                      5.20
32                      5.60
64                      5.99
128                     6.12
256                     6.33
512                     7.01
1024                    8.84
2048                   10.49
4096                   14.18
8192                   21.92
16384                  47.52
32768                  84.34
65536                 147.63
131072                321.49
262144                654.62
