656470

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.29
2                       5.35
4                       5.46
8                       5.37
16                      5.39
32                      5.87
64                      6.05
128                     6.12
256                     6.37
512                     7.12
1024                    8.87
2048                   10.46
4096                   14.21
8192                   21.87
16384                  47.48
32768                  84.55
65536                 148.40
131072                331.22
262144                658.23
