636347

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.20
2                       5.21
4                       5.18
8                       5.11
16                      5.13
32                      5.51
64                      5.68
128                     5.79
256                     6.02
512                     6.75
1024                    8.83
2048                   10.40
4096                   14.12
8192                   21.88
16384                  47.82
32768                  84.44
65536                 148.01
131072                309.05
262144                656.34
