
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.84
2                       4.04
4                       4.03
8                       4.01
16                      4.02
32                      4.02
64                      4.05
128                     4.19
256                     6.18
512                     6.25
1024                    6.43
2048                    6.73
4096                    6.99
8192                    6.44
16384                   8.41
32768                  15.64
65536                  27.90
131072                 41.92
262144                 70.05
