
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.78
2                       4.01
4                       3.99
8                       3.96
16                      3.97
32                      3.98
64                      3.98
128                     4.14
256                     6.19
512                     6.27
1024                    6.44
2048                    6.77
4096                    7.00
8192                    6.41
16384                   8.40
32768                  15.62
65536                  27.85
131072                 41.88
262144                 70.21
