
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.09
2                       4.03
4                       4.03
8                       4.03
16                      4.00
32                      4.00
64                      4.01
128                     4.17
256                     6.24
512                     6.29
1024                    6.45
2048                    6.75
4096                    7.00
8192                    6.44
16384                   8.41
32768                  15.65
65536                  27.87
131072                 41.92
262144                 70.20
