
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.12
2                       4.04
4                       4.02
8                       4.01
16                      4.05
32                      3.99
64                      4.04
128                     4.19
256                     6.23
512                     6.33
1024                    6.47
2048                    6.79
4096                    7.03
8192                    6.47
16384                   8.43
32768                  15.67
65536                  27.88
131072                 41.90
262144                 70.07
