
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.78
2                       4.01
4                       4.02
8                       4.00
16                      3.98
32                      3.99
64                      4.02
128                     4.16
256                     6.18
512                     6.28
1024                    6.45
2048                    6.74
4096                    7.00
8192                    6.43
16384                   8.41
32768                  15.65
65536                  27.85
131072                 41.89
262144                 70.07
