
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.58
2                       4.02
4                       4.01
8                       4.00
16                      4.02
32                      4.00
64                      4.01
128                     4.17
256                     6.19
512                     6.26
1024                    6.44
2048                    6.74
4096                    7.01
8192                    6.46
16384                   8.41
32768                  15.63
65536                  27.87
131072                 41.91
262144                 70.10
