
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       4.11
2                       4.04
4                       4.03
8                       4.03
16                      4.03
32                      4.04
64                      4.05
128                     4.21
256                     6.22
512                     6.29
1024                    6.48
2048                    6.76
4096                    7.02
8192                    6.47
16384                   8.43
32768                  15.65
65536                  27.88
131072                 41.91
262144                 70.17
