1368849

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      19.77
2                       4.85
4                       6.96
8                      25.27
16                      8.36
32                      5.89
64                     10.58
128                     8.18
256                    13.94
512                    22.59
1024                    9.38
2048                   13.84
4096                   13.19
8192                   17.63
16384                  23.36
32768                  36.61
65536                  62.65
131072                154.91
262144                265.04
