1367718

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.25
2                       5.70
4                       4.83
8                       4.71
16                     15.83
32                     13.39
64                     12.43
128                     9.55
256                     8.34
512                     9.96
1024                    8.37
2048                    9.24
4096                   14.16
8192                   24.64
16384                  27.95
32768                  36.99
65536                  61.92
131072                124.28
262144                283.12
