1368740

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.90
2                      22.22
4                      12.54
8                      15.77
16                      7.65
32                     14.40
64                      7.80
128                    10.62
256                     8.42
512                     7.93
1024                   10.65
2048                   15.57
4096                   14.83
8192                   25.48
16384                  28.62
32768                  38.76
65536                  60.35
131072                120.81
262144                307.96
