1366697

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       8.35
2                       5.42
4                       4.39
8                       4.89
16                      6.04
32                      4.53
64                      5.72
128                    12.78
256                    10.34
512                     9.80
1024                   13.97
2048                   12.46
4096                   23.30
8192                   18.63
16384                  34.95
32768                  43.13
65536                  68.28
131072                123.89
262144                259.44
