1367831

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.20
2                       5.96
4                       8.69
8                       5.51
16                      5.83
32                     13.40
64                      7.75
128                    10.31
256                     9.19
512                    14.67
1024                   16.76
2048                    9.37
4096                   16.90
8192                   17.91
16384                  23.60
32768                  36.17
65536                  60.64
131072                109.77
262144                279.10
