1366924

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.21
2                       5.73
4                       6.70
8                       6.28
16                     11.38
32                      6.24
64                      5.59
128                     9.32
256                     8.02
512                     8.18
1024                    8.65
2048                   12.00
4096                   13.07
8192                   17.00
16384                  23.40
32768                  35.84
65536                  61.21
131072                113.15
262144                263.15
