1367271

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       7.59
2                       9.26
4                      13.37
8                       5.93
16                      6.95
32                     12.87
64                     10.31
128                    14.67
256                     7.82
512                    11.56
1024                   12.03
2048                   12.37
4096                   18.05
8192                   21.44
16384                  23.98
32768                  36.67
65536                  62.00
131072                110.79
262144                278.85
